name,citation,directory_id,act_id,repealed,url
Civil Resolution Tribunal Act,"SBC 2012, c 25",422117006,12025_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/12025_01
"Civil Resolution Tribunal Amendment Act, 2018","SBC 2018, c 17",1613929282,18017,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/18017
Civil Rights Protection Act,"RSBC 1996, c 49",96049,96049_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96049_01
Class Proceedings Act,"RSBC 1996, c 50",96050,96050_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96050_01
Clean Energy Act,"SBC 2010, c 22",1371573060,10022_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/10022_01
Climate Change Accountability Act,"SBC 2007, c 42",07042,07042_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/07042_01
Coal Act,"RSBC 1996, c 51",96051rep,96051rep_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96051rep_01
Coal Act,"SBC 2004, c 15",04015,04015_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/04015_01
Coalbed Gas Act,"SBC 2003, c 18",03018,03018_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/03018_01
Coastal Ferry Act,"SBC 2003, c 14",03014,03014_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/03014_01
College and Institute Act,"RSBC 1996, c 52",96052,96052_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96052_01
College of Applied Biology Act,"SBC 2002, c 68",02068,02068_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/02068_01
Columbia Basin Trust Act,"RSBC 1996, c 53",96053,96053_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96053_01
Commercial Appeals Commission Act,"RSBC 1996, c 54",96054rep,96054rep_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96054rep_01
Commercial Arbitration Act,"RSBC 1996, c 55",1259780376,96055_01a,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96055_01a
Commercial Liens Act,"SBC 2022, c 9",1381419461,22009,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/22009
Commercial River Rafting Safety Act,"RSBC 1996, c 56",96056,96056_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96056_01
Commercial Tenancy Act,"RSBC 1996, c 57",96057,96057_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96057_01
Commercial Transport Act,"RSBC 1996, c 58",96058,96058_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96058_01
Commissioner on Resources and Environment Act,"RSBC 1996, c 59",96059rep,96059rep_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96059rep_01
Community Care and Assisted Living Act,"SBC 2002, c 75",02075,02075_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/02075_01
Community Care Facility Act,"RSBC 1996, c 60",96060rep,96060rep_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96060rep_01
Community Charter,"SBC 2003, c 26",03026_00d,03026_00_multi,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/03026_00_multi
Community Charter Council Act,"SBC 2001, c 35",01035rep,01035rep_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/01035rep_01
"Community Charter Transitional Provisions, Consequential Amendments and Other Amendments Act","SBC 2003, c 52",1041634536,03052_01,False,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/03052_01
Community Financial Services Act,"RSBC 1996, c 61",96061rep,96061rep_01,True,http://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96061rep_01
